wfpp,wikidata,label
https://wfpp.columbia.edu/person/valda-valkyrien/,Q4993986,Valda Valkyrien
https://wfpp.columbia.edu/person/valentina-semyonovna-brumberg/,Q4097169,Valentina Brumberg
https://wfpp.columbia.edu/person/vera-mccord/,Q56476614,Vera McCord
https://wfpp.columbia.edu/person/viola-lawrence/,Q1507483,Viola Lawrence
https://wfpp.columbia.edu/person/virginia-dale/,,
https://wfpp.columbia.edu/person/virginia-de-castro-e-almeida/,Q19974549,Virginia de Castro e Almeida
https://wfpp.columbia.edu/person/wanda-tuchock/,Q3566015,Wanda Tuchock
https://wfpp.columbia.edu/person/winifred-dunn/,Q17485929,Winifred Dunn
https://wfpp.columbia.edu/person/winnifred-eaton/,Q8025676,Winnifred Eaton
https://wfpp.columbia.edu/person/xie-caizhen/,Q42588379,Xie Caizhen
https://wfpp.columbia.edu/person/yan-shanshan/,Q99692523,Yan Shanshan
https://wfpp.columbia.edu/person/yang-naimei/,Q11119073,Yang Naimei
https://wfpp.columbia.edu/person/zinaida-semyonovna-brumberg/,,
https://wfpp.columbia.edu/person/zora-neale-hurston/,Q220480,Zora Neale Hurston
